group,0,0.005,0.01,0.02,0.04,0.06,0.08,0.1,0.2,0.4,0.6,0.8,1,2,4,6,8,10
1,0,0.012,0.018,0.072,0.09,0.186,0.223,0.258,0.48,0.943,1.016,1.174,1.353,,,,,
2,0,0.041,0.082,0.121,0.172,0.289,0.515,0.726,0.93,1.149,1.22,1.282,1.486,2.166,2.563,3.472,2.488,3.288
3,0,0.02,0.062,0.098,0.177,0.257,0.299,0.306,0.52,0.687,1.096,1.202,1.026,,,,,
4,0,0.047,0.029,0.11,0.212,0.27,0.332,0.341,0.664,0.712,0.849,0.931,1.078,,,,,
5,0,0.011,0.131,0.135,0.144,0.23,0.342,0.346,0.724,0.853,1.117,1.341,1.62,2.076,2.101,,,
6,0,0.008,0.011,0.078,0.147,0.217,0.238,0.322,0.397,0.674,0.91,1.13,0,,,,,
7,0,0.05,0.068,0.125,0.18,0.276,0.291,0.372,0.519,0.755,1.031,1.174,1.365,1.875,,,,
8,0,0.013,0.132,0.148,0.233,0.345,0.736,0.906,1.105,1.223,1.339,1.621,2.075,2.096,,,,
9,0,0.049,0.098,0.123,0.218,0.301,0.334,0.412,0.547,0.833,1.088 ,1.340 ,1.500 ,1.744,2.126,,,
10,0,0.008,0.038,0.112,0.17,0.233,0.262,0.229,0.273,0.412,0.588,0.882,0.769,0.227,,,,
11,0,0.024,0.059,0.089,0.194,0.235,0.292,0.361,0.591,0.767,1.241,2.311,2.721,,,,,
12,0,0.019,0.059,0.101,0.178,0.205,0.303,0.387,0.511,0.908,1.009,1.311,1.548,,,,,
13,0,0.023,0.06,0.09,0.195,0.236,0.285,0.362,0.586,0.87,1.034,1.189,1.245,1.621,2.045,,,
14,0,0.023,0.051,,,0.218,0.301,0.363,,,,,,,,,,
